id,title,tags
283995,Guardians of the Galaxy Vol. 2,adventure action sci-fi chris pratt zoe saldaña dave bautista vin diesel bradley cooper james gunn sequel superhero based on comic misfit space aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu)  en
480530,Creed II,drama michael b. jordan sylvester stallone tessa thompson wood harris russell hornsby steven caple jr. sports sequel rivalry los angeles california boxing dedicated box ring ukraine  en
299536,Avengers: Infinity War,adventure action sci-fi robert downey jr. chris hemsworth mark ruffalo chris evans scarlett johansson anthony russojoe russo magic sacrifice superhero based on comic space battlefield genocide magical object super power aftercreditsstinger marvel cinematic universe (mcu) cosmic  en
299534,Avengers: Endgame,adventure sci-fi action robert downey jr. chris evans mark ruffalo chris hemsworth scarlett johansson anthony russojoe russo space travel time travel time machine sequel superhero based on comic alien invasion superhero team marvel cinematic universe (mcu) alternate timeline father daughter relationship sister sister relationship  en
337167,Fifty Shades Freed,drama romance dakota johnson jamie dornan eric johnson luke grimes rita ora james foley based on novel or book eroticism sequel bdsm  en
354912,Coco,family animation fantasy music comedy adventure anthony gonzalez gael garcía bernal benjamin bratt alanna ubach renée victor lee unkrich mexico guitar musician skeleton afterlife singer life after death child day of the dead fairy tales  en
537915,After,romance drama josephine langford hero fiennes tiffin shane paul mcghie khadijha red thunder dylan arnold jenny gage based on novel or book love teenage crush  en
335988,Transformers: The Last Knight,action adventure sci-fi mark wahlberg anthony hopkins josh duhamel stanley tucci laura haddock michael bay england knight based on toy robot  en
420818,The Lion King,adventure drama family chiwetel ejiofor john oliver james earl jones john kani alfre woodard jon favreau africa lion prince musical uncle remake grief redemption king family sidekick live action and animation father son relationship live action remake  en
335984,Blade Runner 2049,sci-fi drama ryan gosling harrison ford ana de armas sylvia hoeks robin wright denis villeneuve artificial intelligence bounty hunter future dystopia genetics sequel cyberpunk los angeles california las vegas tech noir blade runner 2040s  en
384018,Fast & Furious Presents: Hobbs & Shaw,action adventure comedy dwayne johnson jason statham idris elba vanessa kirby helen mirren david leitch london england biological weapon secret organization family clan spin off family reunion buddy comedy samoa aftercreditsstinger duringcreditsstinger buddy movie mother son relationship father daughter relationship brother sister relationship  en
315635,Spider-Man: Homecoming,action adventure sci-fi drama tom holland michael keaton robert downey jr. marisa tomei jon favreau jon watts new york city washington dc usa high school superhero based on comic reboot marvel cinematic universe (mcu)  en
330457,Frozen II,family animation adventure comedy fantasy idina menzel kristen bell josh gad jonathan groff sterling k. brown chris buckjennifer lee winter queen magic castle kingdom princess dam spirit frozen personification  en
337339,The Fate of the Furious,action crime thriller vin diesel jason statham dwayne johnson michelle rodriguez tyrese gibson f. gary gray new york city submarine sequel street race betrayal rescue mission criminal mastermind mysterious woman  en
324857,Spider-Man: Into the Spider-Verse,action adventure animation sci-fi shameik moore jake johnson hailee steinfeld mahershala ali brian tyree henry rodney rothmanpeter ramseybob persichetti superhero based on comic aftercreditsstinger alternate universe  en
260514,Cars 3,animation adventure comedy family owen wilson cristela alonzo chris cooper nathan fillion armie hammer brian fee trainer sequel travel racing anthropomorphism high tech  en
420809,Maleficent: Mistress of Evil,family fantasy adventure action angelina jolie elle fanning harris dickinson michelle pfeiffer sam riley joachim rønning magic fairy fairy tale villain sequel live action remake  en
284053,Thor: Ragnarok,action adventure fantasy sci-fi comedy chris hemsworth tom hiddleston cate blanchett tessa thompson jeff goldblum taika waititi sequel superhero based on comic alien planet female villain norse mythology aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) norse god loki  en
429617,Spider-Man: Far From Home,action adventure sci-fi tom holland samuel l. jackson jake gyllenhaal marisa tomei jon favreau jon watts venice italy europe school trip sequel superhero based on comic destruction aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) tower of london  en
287947,Shazam!,action comedy fantasy zachary levi mark strong asher angel jack dylan grazer adam brody david f. sandberg philadelphia pennsylvania secret identity magic superhero based on comic wizard superhuman strength aftercreditsstinger duringcreditsstinger christmas dc extended universe (dceu) flossing  en
